ID,Index,Region,SalesRep,Month,CustomerRating,CustomerSegment,SalesTargetAchieved,Product,Sales,Profit,Discount%
77,20,East,Bob,Mar,2,Commercial,Yes,Computer,86,25.8,28
78,20,East,Bob,Mar,2,Commercial,Yes,AirConditioner,19,7.6,8
79,20,East,Bob,Mar,2,Commercial,Yes,Fridge,53,26.5,7
80,20,East,Bob,Mar,2,Commercial,Yes,Television,77,19.25,14
81,21,South,Eve,Jan,5,Commercial,No,Computer,119,35.7,20
82,21,South,Eve,Jan,5,Commercial,No,AirConditioner,57,22.8,9
83,21,South,Eve,Jan,5,Commercial,No,Fridge,12,6,6
84,21,South,Eve,Jan,5,Commercial,No,Television,11,2.75,5
85,22,North,Charlie,Feb,1,Residential,No,Computer,78,23.4,7
86,22,North,Charlie,Feb,1,Residential,No,AirConditioner,12,4.8,10
87,22,North,Charlie,Feb,1,Residential,No,Fridge,8,4,7
88,22,North,Charlie,Feb,1,Residential,No,Television,10,2.5,11
89,23,South,Bob,Mar,2,Residential,No,Computer,67,20.1,9
90,23,South,Bob,Mar,2,Residential,No,AirConditioner,78,31.2,8
91,23,South,Bob,Mar,2,Residential,No,Fridge,64,32,12
92,23,South,Bob,Mar,2,Residential,No,Television,112,28,1
93,24,West,Alice,Jan,3,Corporate,Yes,Computer,115,34.5,17
94,24,West,Alice,Jan,3,Corporate,Yes,AirConditioner,50,20,13
95,24,West,Alice,Jan,3,Corporate,Yes,Fridge,7,3.5,14
96,24,West,Alice,Jan,3,Corporate,Yes,Television,59,14.75,3
97,25,West,Eve,Mar,2,Residential,Yes,Computer,53,15.9,14
98,25,West,Eve,Mar,2,Residential,Yes,AirConditioner,73,29.2,4
99,25,West,Eve,Mar,2,Residential,Yes,Fridge,72,36,11
100,25,West,Eve,Mar,2,Residential,Yes,Television,90,22.5,3
101,26,South,Diana,Mar,2,Residential,No,Computer,83,24.9,19
102,26,South,Diana,Mar,2,Residential,No,AirConditioner,118,47.2,8
103,26,South,Diana,Mar,2,Residential,No,Fridge,65,32.5,14
104,26,South,Diana,Mar,2,Residential,No,Television,55,13.75,8
105,27,South,Eve,Mar,1,Residential,Yes,Computer,65,19.5,12
106,27,South,Eve,Mar,1,Residential,Yes,AirConditioner,127,50.8,3
107,27,South,Eve,Mar,1,Residential,Yes,Fridge,58,29,13
108,27,South,Eve,Mar,1,Residential,Yes,Television,20,5,8
109,28,South,Diana,Mar,1,Corporate,No,Computer,180,54,26
110,28,South,Diana,Mar,1,Corporate,No,AirConditioner,143,57.2,1
111,28,South,Diana,Mar,1,Corporate,No,Fridge,61,30.5,6
112,28,South,Diana,Mar,1,Corporate,No,Television,81,20.25,4
113,29,West,Eve,Jan,1,Corporate,Yes,Computer,136,40.8,29
114,29,West,Eve,Jan,1,Corporate,Yes,AirConditioner,121,48.4,18
115,29,West,Eve,Jan,1,Corporate,Yes,Fridge,65,32.5,16
116,29,West,Eve,Jan,1,Corporate,Yes,Television,17,4.25,11
117,30,West,Eve,Feb,1,Commercial,No,Computer,171,51.3,9
118,30,West,Eve,Feb,1,Commercial,No,AirConditioner,47,18.8,0
119,30,West,Eve,Feb,1,Commercial,No,Fridge,91,45.5,4
120,30,West,Eve,Feb,1,Commercial,No,Television,68,17,2
121,31,North,Eve,Jan,3,Corporate,Yes,Computer,39,11.7,8
122,31,North,Eve,Jan,3,Corporate,Yes,AirConditioner,76,30.4,20
123,31,North,Eve,Jan,3,Corporate,Yes,Fridge,61,30.5,19
124,31,North,Eve,Jan,3,Corporate,Yes,Television,5,1.25,0
125,32,North,Diana,Jan,4,Residential,Yes,Computer,80,24,12
126,32,North,Diana,Jan,4,Residential,Yes,AirConditioner,25,10,0
127,32,North,Diana,Jan,4,Residential,Yes,Fridge,53,26.5,9
128,32,North,Diana,Jan,4,Residential,Yes,Television,60,15,5
129,33,West,Diana,Jan,2,Corporate,No,Computer,127,38.1,2
130,33,West,Diana,Jan,2,Corporate,No,AirConditioner,86,34.4,11
131,33,West,Diana,Jan,2,Corporate,No,Fridge,52,26,18
132,33,West,Diana,Jan,2,Corporate,No,Television,23,5.75,7
133,34,South,Eve,Feb,5,Residential,Yes,Computer,64,19.2,21
134,34,South,Eve,Feb,5,Residential,Yes,AirConditioner,61,24.4,10
135,34,South,Eve,Feb,5,Residential,Yes,Fridge,6,3,17
136,34,South,Eve,Feb,5,Residential,Yes,Television,46,11.5,0
137,35,South,Bob,Mar,1,Residential,No,Computer,76,22.8,26
138,35,South,Bob,Mar,1,Residential,No,AirConditioner,78,31.2,0
139,35,South,Bob,Mar,1,Residential,No,Fridge,50,25,9
140,35,South,Bob,Mar,1,Residential,No,Television,52,13,10
141,36,North,Charlie,Mar,3,Residential,No,Computer,150,45,22
142,36,North,Charlie,Mar,3,Residential,No,AirConditioner,102,40.8,13
143,36,North,Charlie,Mar,3,Residential,No,Fridge,34,17,1
144,36,North,Charlie,Mar,3,Residential,No,Television,10,2.5,0
145,37,West,Charlie,Mar,1,Commercial,No,Computer,12,3.6,2
146,37,West,Charlie,Mar,1,Commercial,No,AirConditioner,114,45.6,10
147,37,West,Charlie,Mar,1,Commercial,No,Fridge,53,26.5,5
148,37,West,Charlie,Mar,1,Commercial,No,Television,46,11.5,14
149,38,North,Charlie,Feb,2,Commercial,No,Computer,35,10.5,0
150,38,North,Charlie,Feb,2,Commercial,No,AirConditioner,119,47.6,6
151,38,North,Charlie,Feb,2,Commercial,No,Fridge,54,27,2
152,38,North,Charlie,Feb,2,Commercial,No,Television,28,7,10
153,39,North,Diana,Mar,3,Residential,Yes,Computer,66,19.8,1
154,39,North,Diana,Mar,3,Residential,Yes,AirConditioner,46,18.4,1
155,39,North,Diana,Mar,3,Residential,Yes,Fridge,76,38,18
156,39,North,Diana,Mar,3,Residential,Yes,Television,97,24.25,6
157,40,East,Diana,Feb,1,Corporate,Yes,Computer,135,40.5,10
158,40,East,Diana,Feb,1,Corporate,Yes,AirConditioner,72,28.8,14
159,40,East,Diana,Feb,1,Corporate,Yes,Fridge,36,18,4
160,40,East,Diana,Feb,1,Corporate,Yes,Television,43,10.75,6
161,41,East,Bob,Mar,2,Residential,Yes,Computer,104.59,31.38,13
162,41,East,Bob,Mar,2,Residential,Yes,AirConditioner,74,29.6,7
163,41,East,Bob,Mar,2,Residential,Yes,Fridge,38,19,6
164,41,East,Bob,Mar,2,Residential,Yes,Television,26,6.5,1
165,42,East,Charlie,Mar,2,Residential,Yes,Computer,62,18.6,9
166,42,East,Charlie,Mar,2,Residential,Yes,AirConditioner,82,32.8,21
167,42,East,Charlie,Mar,2,Residential,Yes,Fridge,72,36,6
168,42,East,Charlie,Mar,2,Residential,Yes,Television,55,13.75,2
169,43,South,Charlie,Jan,3,Residential,Yes,Computer,52,15.6,6
170,43,South,Charlie,Jan,3,Residential,Yes,AirConditioner,94,37.6,19
171,43,South,Charlie,Jan,3,Residential,Yes,Fridge,45,22.5,9
172,43,South,Charlie,Jan,3,Residential,Yes,Television,114,28.5,1
173,44,West,Eve,Feb,3,Commercial,Yes,Computer,197,59.1,22
174,44,West,Eve,Feb,3,Commercial,Yes,AirConditioner,115,46,24
175,44,West,Eve,Feb,3,Commercial,Yes,Fridge,18,9,0
176,44,West,Eve,Feb,3,Commercial,Yes,Television,48,12,5
177,45,West,Diana,Jan,1,Corporate,Yes,Computer,195,58.5,27
178,45,West,Diana,Jan,1,Corporate,Yes,AirConditioner,116,46.4,14
179,45,West,Diana,Jan,1,Corporate,Yes,Fridge,61,30.5,10
180,45,West,Diana,Jan,1,Corporate,Yes,Television,29,7.25,12
181,46,West,Charlie,Jan,2,Residential,Yes,Computer,58,17.4,0
182,46,West,Charlie,Jan,2,Residential,Yes,AirConditioner,107,42.8,7
183,46,West,Charlie,Jan,2,Residential,Yes,Fridge,55,27.5,6
184,46,West,Charlie,Jan,2,Residential,Yes,Television,27,6.75,12
185,47,West,Bob,Jan,5,Commercial,Yes,Computer,51,15.3,25
186,47,West,Bob,Jan,5,Commercial,Yes,AirConditioner,149,59.6,9
187,47,West,Bob,Jan,5,Commercial,Yes,Fridge,21,10.5,5
188,47,West,Bob,Jan,5,Commercial,Yes,Television,18,4.5,7
189,48,East,Bob,Feb,1,Residential,No,Computer,20,6,6
190,48,East,Bob,Feb,1,Residential,No,AirConditioner,23,9.2,18
191,48,East,Bob,Feb,1,Residential,No,Fridge,91,45.5,5
192,48,East,Bob,Feb,1,Residential,No,Television,104,26,7
193,49,South,Charlie,Feb,3,Commercial,Yes,Computer,112,33.6,14
194,49,South,Charlie,Feb,3,Commercial,Yes,AirConditioner,74,29.6,2
195,49,South,Charlie,Feb,3,Commercial,Yes,Fridge,97,48.5,12
196,49,South,Charlie,Feb,3,Commercial,Yes,Television,60,15,14
197,50,South,Diana,Mar,1,Corporate,Yes,Computer,107,32.1,25
198,50,South,Diana,Mar,1,Corporate,Yes,AirConditioner,67,26.8,19
199,50,South,Diana,Mar,1,Corporate,Yes,Fridge,43,21.5,15
200,50,South,Diana,Mar,1,Corporate,Yes,Television,74,18.5,0
201,51,East,Bob,Jan,2,Residential,No,Computer,155,46.5,10
202,51,East,Bob,Jan,2,Residential,No,AirConditioner,79,31.6,13
203,51,East,Bob,Jan,2,Residential,No,Fridge,83,41.5,12
204,51,East,Bob,Jan,2,Residential,No,Television,106,26.5,10
205,52,South,Eve,Mar,1,Corporate,Yes,Computer,94,28.2,5
206,52,South,Eve,Mar,1,Corporate,Yes,AirConditioner,108,43.2,8
207,52,South,Eve,Mar,1,Corporate,Yes,Fridge,49,24.5,1
208,52,South,Eve,Mar,1,Corporate,Yes,Television,69,17.25,8
209,53,East,Bob,Jan,5,Commercial,No,Computer,109,32.7,26
210,53,East,Bob,Jan,5,Commercial,No,AirConditioner,79,31.6,8
211,53,East,Bob,Jan,5,Commercial,No,Fridge,96,48,18
212,53,East,Bob,Jan,5,Commercial,No,Television,74,18.5,10
213,54,West,Alice,Feb,5,Residential,No,Computer,113,33.9,21
214,54,West,Alice,Feb,5,Residential,No,AirConditioner,132,52.8,20
215,54,West,Alice,Feb,5,Residential,No,Fridge,56,28,18
216,54,West,Alice,Feb,5,Residential,No,Television,114,28.5,7
217,55,East,Alice,Feb,4,Corporate,Yes,Computer,189,56.7,6
218,55,East,Alice,Feb,4,Corporate,Yes,AirConditioner,60,24,24
219,55,East,Alice,Feb,4,Corporate,Yes,Fridge,57,28.5,18
220,55,East,Alice,Feb,4,Corporate,Yes,Television,21,5.25,8
221,56,West,Diana,Feb,2,Residential,No,Computer,55,16.5,6
222,56,West,Diana,Feb,2,Residential,No,AirConditioner,26,10.4,5
223,56,West,Diana,Feb,2,Residential,No,Fridge,97,48.5,17
224,56,West,Diana,Feb,2,Residential,No,Television,24,6,12
225,57,West,Charlie,Jan,5,Residential,No,Computer,53,15.9,0
226,57,West,Charlie,Jan,5,Residential,No,AirConditioner,93,37.2,7
227,57,West,Charlie,Jan,5,Residential,No,Fridge,21,10.5,5
228,57,West,Charlie,Jan,5,Residential,No,Television,102,25.5,13
229,58,North,Diana,Feb,3,Residential,Yes,Computer,31,9.3,9
230,58,North,Diana,Feb,3,Residential,Yes,AirConditioner,23,9.2,10
231,58,North,Diana,Feb,3,Residential,Yes,Fridge,64,32,1
232,58,North,Diana,Feb,3,Residential,Yes,Television,3,0.75,12
233,59,East,Diana,Jan,2,Residential,No,Computer,190,57,20
234,59,East,Diana,Jan,2,Residential,No,AirConditioner,30,12,7
235,59,East,Diana,Jan,2,Residential,No,Fridge,95,47.5,18
236,59,East,Diana,Jan,2,Residential,No,Television,104,26,8
237,60,North,Diana,Mar,4,Corporate,Yes,Computer,196,58.8,14
238,60,North,Diana,Mar,4,Corporate,Yes,AirConditioner,27,10.8,11
239,60,North,Diana,Mar,4,Corporate,Yes,Fridge,61,30.5,5
240,60,North,Diana,Mar,4,Corporate,Yes,Television,95,23.75,10
241,61,East,Diana,Jan,1,Commercial,Yes,Computer,123,36.9,29
242,61,East,Diana,Jan,1,Commercial,Yes,AirConditioner,76,30.4,9
243,61,East,Diana,Jan,1,Commercial,Yes,Fridge,67,33.5,19
244,61,East,Diana,Jan,1,Commercial,Yes,Television,62,15.5,11
245,62,East,Eve,Mar,1,Corporate,Yes,Computer,134,40.2,29
246,62,East,Eve,Mar,1,Corporate,Yes,AirConditioner,17,6.8,22
247,62,East,Eve,Mar,1,Corporate,Yes,Fridge,70,35,14
248,62,East,Eve,Mar,1,Corporate,Yes,Television,105,26.25,5
249,63,North,Eve,Jan,4,Residential,Yes,Computer,133,39.9,7
250,63,North,Eve,Jan,4,Residential,Yes,AirConditioner,70,28,3
251,63,North,Eve,Jan,4,Residential,Yes,Fridge,30,15,5
252,63,North,Eve,Jan,4,Residential,Yes,Television,101,25.25,2
253,64,North,Bob,Mar,2,Residential,Yes,Computer,39,11.7,23
254,64,North,Bob,Mar,2,Residential,Yes,AirConditioner,148,59.2,15
255,64,North,Bob,Mar,2,Residential,Yes,Fridge,20,10,2
256,64,North,Bob,Mar,2,Residential,Yes,Television,2,0.5,0
257,65,East,Alice,Feb,3,Residential,No,Computer,17,5.1,18
258,65,East,Alice,Feb,3,Residential,No,AirConditioner,77,30.8,19
259,65,East,Alice,Feb,3,Residential,No,Fridge,28,14,10
260,65,East,Alice,Feb,3,Residential,No,Television,66,16.5,10
261,66,South,Diana,Mar,2,Commercial,Yes,Computer,107,32.1,2
262,66,South,Diana,Mar,2,Commercial,Yes,AirConditioner,81,32.4,5
263,66,South,Diana,Mar,2,Commercial,Yes,Fridge,21,10.5,7
264,66,South,Diana,Mar,2,Commercial,Yes,Television,103,25.75,7
265,67,West,Bob,Feb,5,Corporate,Yes,Computer,66,19.8,22
266,67,West,Bob,Feb,5,Corporate,Yes,AirConditioner,35,14,8
267,67,West,Bob,Feb,5,Corporate,Yes,Fridge,57,28.5,17
268,67,West,Bob,Feb,5,Corporate,Yes,Television,113,28.25,9
269,68,North,Alice,Feb,2,Commercial,Yes,Computer,120,36,14
270,68,North,Alice,Feb,2,Commercial,Yes,AirConditioner,89,35.6,22
271,68,North,Alice,Feb,2,Commercial,Yes,Fridge,59,29.5,16
272,68,North,Alice,Feb,2,Commercial,Yes,Television,42,10.5,2
273,69,West,Charlie,Mar,5,Residential,No,Computer,82,24.6,3
274,69,West,Charlie,Mar,5,Residential,No,AirConditioner,63,25.2,4
275,69,West,Charlie,Mar,5,Residential,No,Fridge,8,4,18
276,69,West,Charlie,Mar,5,Residential,No,Television,108,27,12
277,70,South,Eve,Jan,2,Corporate,No,Computer,124,37.2,5
278,70,South,Eve,Jan,2,Corporate,No,AirConditioner,45,18,20
279,70,South,Eve,Jan,2,Corporate,No,Fridge,3,1.5,18
280,70,South,Eve,Jan,2,Corporate,No,Television,34,8.5,6
281,71,South,Alice,Jan,1,Commercial,No,Computer,29,8.7,24
282,71,South,Alice,Jan,1,Commercial,No,AirConditioner,116,46.4,23
283,71,South,Alice,Jan,1,Commercial,No,Fridge,10,5,16
284,71,South,Alice,Jan,1,Commercial,No,Television,42,10.5,12
285,72,South,Charlie,Jan,3,Residential,No,Computer,34,10.2,9
286,72,South,Charlie,Jan,3,Residential,No,AirConditioner,100,40,5
287,72,South,Charlie,Jan,3,Residential,No,Fridge,99,49.5,3
288,72,South,Charlie,Jan,3,Residential,No,Television,20,5,9
289,73,North,Alice,Jan,1,Corporate,No,Computer,28,8.4,17
290,73,North,Alice,Jan,1,Corporate,No,AirConditioner,126,50.4,16
291,73,North,Alice,Jan,1,Corporate,No,Fridge,53,26.5,6
292,73,North,Alice,Jan,1,Corporate,No,Television,97,24.25,5
293,74,South,Eve,Jan,1,Residential,No,Computer,14,4.2,15
294,74,South,Eve,Jan,1,Residential,No,AirConditioner,109,43.6,16
295,74,South,Eve,Jan,1,Residential,No,Fridge,87,43.5,4
296,74,South,Eve,Jan,1,Residential,No,Television,68,17,2
297,75,North,Eve,Feb,3,Residential,No,Computer,84,25.2,17
298,75,North,Eve,Feb,3,Residential,No,AirConditioner,78,31.2,24
299,75,North,Eve,Feb,3,Residential,No,Fridge,90,45,15
300,75,North,Eve,Feb,3,Residential,No,Television,45,11.25,5
301,76,South,Bob,Jan,2,Residential,Yes,Computer,137,41.1,5
302,76,South,Bob,Jan,2,Residential,Yes,AirConditioner,136,54.4,23
303,76,South,Bob,Jan,2,Residential,Yes,Fridge,27,13.5,5
304,76,South,Bob,Jan,2,Residential,Yes,Television,108,27,11
305,77,West,Diana,Feb,2,Residential,Yes,Computer,81,24.3,18
306,77,West,Diana,Feb,2,Residential,Yes,AirConditioner,103,41.2,21
307,77,West,Diana,Feb,2,Residential,Yes,Fridge,49,24.5,13
308,77,West,Diana,Feb,2,Residential,Yes,Television,75,18.75,2
309,78,West,Alice,Feb,2,Residential,No,Computer,164,49.2,16
310,78,West,Alice,Feb,2,Residential,No,AirConditioner,130,52,12
311,78,West,Alice,Feb,2,Residential,No,Fridge,57,28.5,19
312,78,West,Alice,Feb,2,Residential,No,Television,42,10.5,12
313,79,East,Alice,Feb,2,Residential,Yes,Computer,49,14.7,17
314,79,East,Alice,Feb,2,Residential,Yes,AirConditioner,142,56.8,16
315,79,East,Alice,Feb,2,Residential,Yes,Fridge,66,33,1
316,79,East,Alice,Feb,2,Residential,Yes,Television,47,11.75,14
317,80,West,Charlie,Mar,1,Residential,Yes,Computer,35,10.5,29
318,80,West,Charlie,Mar,1,Residential,Yes,AirConditioner,79,31.6,13
319,80,West,Charlie,Mar,1,Residential,Yes,Fridge,85,42.5,17
320,80,West,Charlie,Mar,1,Residential,Yes,Television,5,1.25,12
321,81,East,Eve,Mar,2,Commercial,Yes,Computer,104.59,31.38,12
322,81,East,Eve,Mar,2,Commercial,Yes,AirConditioner,18,7.2,1
323,81,East,Eve,Mar,2,Commercial,Yes,Fridge,95,47.5,17
324,81,East,Eve,Mar,2,Commercial,Yes,Television,89,22.25,13
325,82,West,Alice,Feb,4,Corporate,No,Computer,199,59.7,6
326,82,West,Alice,Feb,4,Corporate,No,AirConditioner,42,16.8,18
327,82,West,Alice,Feb,4,Corporate,No,Fridge,12,6,12
328,82,West,Alice,Feb,4,Corporate,No,Television,49,12.25,8
329,83,North,Eve,Mar,5,Commercial,Yes,Computer,92,27.6,19
330,83,North,Eve,Mar,5,Commercial,Yes,AirConditioner,144,57.6,2
331,83,North,Eve,Mar,5,Commercial,Yes,Fridge,58,29,17
332,83,North,Eve,Mar,5,Commercial,Yes,Television,37,9.25,12
333,84,West,Alice,Jan,2,Residential,No,Computer,137,41.1,11
334,84,West,Alice,Jan,2,Residential,No,AirConditioner,49,19.6,1
335,84,West,Alice,Jan,2,Residential,No,Fridge,14,7,16
336,84,West,Alice,Jan,2,Residential,No,Television,34,8.5,0
337,85,East,Bob,Jan,3,Residential,No,Computer,187,56.1,1
338,85,East,Bob,Jan,3,Residential,No,AirConditioner,149,59.6,1
339,85,East,Bob,Jan,3,Residential,No,Fridge,35,17.5,12
340,85,East,Bob,Jan,3,Residential,No,Television,73,18.25,12
341,86,East,Diana,Feb,3,Residential,No,Computer,179,53.7,26
342,86,East,Diana,Feb,3,Residential,No,AirConditioner,79,31.6,21
343,86,East,Diana,Feb,3,Residential,No,Fridge,73,36.5,11
344,86,East,Diana,Feb,3,Residential,No,Television,70,17.5,7
345,87,South,Alice,Jan,2,Residential,No,Computer,166,49.8,11
346,87,South,Alice,Jan,2,Residential,No,AirConditioner,33,13.2,6
347,87,South,Alice,Jan,2,Residential,No,Fridge,19,9.5,2
348,87,South,Alice,Jan,2,Residential,No,Television,18,4.5,4
349,88,North,Eve,Feb,3,Commercial,No,Computer,176,52.8,11
350,88,North,Eve,Feb,3,Commercial,No,AirConditioner,22,8.8,3
351,88,North,Eve,Feb,3,Commercial,No,Fridge,63,31.5,6
352,88,North,Eve,Feb,3,Commercial,No,Television,78,19.5,14
353,89,West,Bob,Feb,3,Commercial,Yes,Computer,197,59.1,23
354,89,West,Bob,Feb,3,Commercial,Yes,AirConditioner,24,9.6,16
355,89,West,Bob,Feb,3,Commercial,Yes,Fridge,12,6,0
356,89,West,Bob,Feb,3,Commercial,Yes,Television,19,4.75,3
357,90,South,Alice,Jan,3,Commercial,Yes,Computer,178,53.4,3
358,90,South,Alice,Jan,3,Commercial,Yes,AirConditioner,18,7.2,5
359,90,South,Alice,Jan,3,Commercial,Yes,Fridge,33,16.5,4
360,90,South,Alice,Jan,3,Commercial,Yes,Television,78,19.5,0
361,91,West,Charlie,Mar,2,Commercial,Yes,Computer,42,12.6,3
362,91,West,Charlie,Mar,2,Commercial,Yes,AirConditioner,76,30.4,6
363,91,West,Charlie,Mar,2,Commercial,Yes,Fridge,62,31,0
364,91,West,Charlie,Mar,2,Commercial,Yes,Television,40,10,8
365,92,West,Diana,Jan,2,Residential,No,Computer,106,31.8,17
366,92,West,Diana,Jan,2,Residential,No,AirConditioner,35,14,19
367,92,West,Diana,Jan,2,Residential,No,Fridge,72,36,3
368,92,West,Diana,Jan,2,Residential,No,Television,17,4.25,12
369,93,South,Alice,Jan,4,Residential,No,Computer,120,36,15
370,93,South,Alice,Jan,4,Residential,No,AirConditioner,62,24.8,5
371,93,South,Alice,Jan,4,Residential,No,Fridge,19,9.5,0
372,93,South,Alice,Jan,4,Residential,No,Television,60,15,8
373,94,South,Bob,Feb,4,Commercial,No,Computer,25,7.5,13
374,94,South,Bob,Feb,4,Commercial,No,AirConditioner,108,43.2,8
375,94,South,Bob,Feb,4,Commercial,No,Fridge,52,26,12
376,94,South,Bob,Feb,4,Commercial,No,Television,99,24.75,12
377,95,South,Charlie,Feb,4,Residential,Yes,Computer,32,9.6,16
378,95,South,Charlie,Feb,4,Residential,Yes,AirConditioner,132,52.8,19
379,95,South,Charlie,Feb,4,Residential,Yes,Fridge,39,19.5,13
380,95,South,Charlie,Feb,4,Residential,Yes,Television,93,23.25,4
381,96,South,Bob,Feb,1,Residential,Yes,Computer,144,43.2,16
382,96,South,Bob,Feb,1,Residential,Yes,AirConditioner,29,11.6,3
383,96,South,Bob,Feb,1,Residential,Yes,Fridge,84,42,14
384,96,South,Bob,Feb,1,Residential,Yes,Television,42,10.5,13
385,97,South,Bob,Feb,1,Residential,Yes,Computer,35,10.5,2
