ID,Index,Region,SalesRep,Month,CustomerRating,Total_Profit_original,CustomerSegment,SalesTargetAchieved,Product,Profit,Sales,Discount%
38,10,South,Diana,Feb,4,88.65,Commercial,No,AirConditioner,29.6,74,11
39,10,South,Diana,Feb,4,88.65,Commercial,No,Fridge,3.5,7,15
40,10,South,Diana,Feb,4,88.65,Commercial,No,Television,11.75,47,2
41,11,East,Eve,Feb,5,126.3,Corporate,No,Computer,41.7,139,11
42,11,East,Eve,Feb,5,126.3,Corporate,No,AirConditioner,53.6,134,8
43,11,East,Eve,Feb,5,126.3,Corporate,No,Fridge,30.5,61,2
44,11,East,Eve,Feb,5,126.3,Corporate,No,Television,0.5,2,4
45,12,East,Alice,Feb,3,157.1,Commercial,Yes,Computer,59.4,198,21
46,12,East,Alice,Feb,3,157.1,Commercial,Yes,AirConditioner,39.2,98,19
47,12,East,Alice,Feb,3,157.1,Commercial,Yes,Fridge,35,70,16
48,12,East,Alice,Feb,3,157.1,Commercial,Yes,Television,23.5,94,13
49,13,East,Alice,Jan,3,58.4,Corporate,No,Computer,15,50,7
50,13,East,Alice,Jan,3,58.4,Corporate,No,AirConditioner,14.4,36,4
51,13,East,Alice,Jan,3,58.4,Corporate,No,Fridge,5.5,11,5
52,13,East,Alice,Jan,3,58.4,Corporate,No,Television,23.5,94,11
53,14,East,Eve,Mar,2,174.05,Corporate,Yes,Computer,54.3,181,15
54,14,East,Eve,Mar,2,174.05,Corporate,Yes,AirConditioner,44,110,20
55,14,East,Eve,Mar,2,174.05,Corporate,Yes,Fridge,47.5,95,5
56,14,East,Eve,Mar,2,174.05,Corporate,Yes,Television,28.25,113,12
57,15,West,Eve,Mar,1,102.85,Residential,No,Computer,21.9,73,4
58,15,West,Eve,Mar,1,102.85,Residential,No,AirConditioner,59.2,148,2
59,15,West,Eve,Mar,1,102.85,Residential,No,Fridge,12,24,18
60,15,West,Eve,Mar,1,102.85,Residential,No,Television,9.75,39,12
61,16,North,Charlie,Jan,5,39.75,Commercial,Yes,Computer,12,40,20
62,16,North,Charlie,Jan,5,39.75,Commercial,Yes,AirConditioner,2,5,1
63,16,North,Charlie,Jan,5,39.75,Commercial,Yes,Fridge,14.5,29,19
64,16,North,Charlie,Jan,5,39.75,Commercial,Yes,Television,11.25,45,12
65,17,West,Alice,Feb,1,61.2,Residential,Yes,Computer,16.8,56,0
66,17,West,Alice,Feb,1,61.2,Residential,Yes,AirConditioner,30.4,76,7
67,17,West,Alice,Feb,1,61.2,Residential,Yes,Fridge,6,12,14
68,17,West,Alice,Feb,1,61.2,Residential,Yes,Television,8,32,0
69,18,West,Diana,Mar,4,120.55,Commercial,No,Computer,41.7,139,16
70,18,West,Diana,Mar,4,120.55,Commercial,No,AirConditioner,21.6,54,9
71,18,West,Diana,Mar,4,120.55,Commercial,No,Fridge,41,82,18
72,18,West,Diana,Mar,4,120.55,Commercial,No,Television,16.25,65,7
73,19,West,Bob,Jan,4,130.5,Residential,Yes,Computer,31.5,105,23
74,19,West,Bob,Jan,4,130.5,Residential,Yes,AirConditioner,58,145,14
75,19,West,Bob,Jan,4,130.5,Residential,Yes,Fridge,31.5,63,1
76,19,West,Bob,Jan,4,130.5,Residential,Yes,Television,9.5,38,10
77,20,East,Bob,Mar,2,79.15,Commercial,Yes,Computer,25.8,86,28
78,20,East,Bob,Mar,2,79.15,Commercial,Yes,AirConditioner,7.6,19,8
79,20,East,Bob,Mar,2,79.15,Commercial,Yes,Fridge,26.5,53,7
80,20,East,Bob,Mar,2,79.15,Commercial,Yes,Television,19.25,77,14
81,21,South,Eve,Jan,5,67.25,Commercial,No,Computer,35.7,119,20
82,21,South,Eve,Jan,5,67.25,Commercial,No,AirConditioner,22.8,57,9
83,21,South,Eve,Jan,5,67.25,Commercial,No,Fridge,6,12,6
84,21,South,Eve,Jan,5,67.25,Commercial,No,Television,2.75,11,5
85,22,North,Charlie,Feb,1,34.7,Residential,No,Computer,23.4,78,7
86,22,North,Charlie,Feb,1,34.7,Residential,No,AirConditioner,4.8,12,10
87,22,North,Charlie,Feb,1,34.7,Residential,No,Fridge,4,8,7
88,22,North,Charlie,Feb,1,34.7,Residential,No,Television,2.5,10,11
89,23,South,Bob,Mar,2,111.3,Residential,No,Computer,20.1,67,9
90,23,South,Bob,Mar,2,111.3,Residential,No,AirConditioner,31.2,78,8
91,23,South,Bob,Mar,2,111.3,Residential,No,Fridge,32,64,12
92,23,South,Bob,Mar,2,111.3,Residential,No,Television,28,112,1
93,24,West,Alice,Jan,3,72.75,Corporate,Yes,Computer,34.5,115,17
94,24,West,Alice,Jan,3,72.75,Corporate,Yes,AirConditioner,20,50,13
95,24,West,Alice,Jan,3,72.75,Corporate,Yes,Fridge,3.5,7,14
96,24,West,Alice,Jan,3,72.75,Corporate,Yes,Television,14.75,59,3
97,25,West,Eve,Mar,2,103.6,Residential,Yes,Computer,15.9,53,14
98,25,West,Eve,Mar,2,103.6,Residential,Yes,AirConditioner,29.2,73,4
99,25,West,Eve,Mar,2,103.6,Residential,Yes,Fridge,36,72,11
100,25,West,Eve,Mar,2,103.6,Residential,Yes,Television,22.5,90,3
101,26,South,Diana,Mar,2,118.35,Residential,No,Computer,24.9,83,19
102,26,South,Diana,Mar,2,118.35,Residential,No,AirConditioner,47.2,118,8
103,26,South,Diana,Mar,2,118.35,Residential,No,Fridge,32.5,65,14
104,26,South,Diana,Mar,2,118.35,Residential,No,Television,13.75,55,8
105,27,South,Eve,Mar,1,104.3,Residential,Yes,Computer,19.5,65,12
106,27,South,Eve,Mar,1,104.3,Residential,Yes,AirConditioner,50.8,127,3
107,27,South,Eve,Mar,1,104.3,Residential,Yes,Fridge,29,58,13
108,27,South,Eve,Mar,1,104.3,Residential,Yes,Television,5,20,8
109,28,South,Diana,Mar,1,161.95,Corporate,No,Computer,54,180,26
110,28,South,Diana,Mar,1,161.95,Corporate,No,AirConditioner,57.2,143,1
111,28,South,Diana,Mar,1,161.95,Corporate,No,Fridge,30.5,61,6
112,28,South,Diana,Mar,1,161.95,Corporate,No,Television,20.25,81,4
113,29,West,Eve,Jan,1,125.95,Corporate,Yes,Computer,40.8,136,29
114,29,West,Eve,Jan,1,125.95,Corporate,Yes,AirConditioner,48.4,121,18
115,29,West,Eve,Jan,1,125.95,Corporate,Yes,Fridge,32.5,65,16
116,29,West,Eve,Jan,1,125.95,Corporate,Yes,Television,4.25,17,11
117,30,West,Eve,Feb,1,132.6,Commercial,No,Computer,51.3,171,9
118,30,West,Eve,Feb,1,132.6,Commercial,No,AirConditioner,18.8,47,0
119,30,West,Eve,Feb,1,132.6,Commercial,No,Fridge,45.5,91,4
120,30,West,Eve,Feb,1,132.6,Commercial,No,Television,17,68,2
121,31,North,Eve,Jan,3,100.95,Corporate,Yes,Computer,11.7,39,8
122,31,North,Eve,Jan,3,100.95,Corporate,Yes,AirConditioner,30.4,76,20
123,31,North,Eve,Jan,3,100.95,Corporate,Yes,Fridge,30.5,61,19
124,31,North,Eve,Jan,3,100.95,Corporate,Yes,Television,1.25,5,0
125,32,North,Diana,Jan,4,75.5,Residential,Yes,Computer,24,80,12
126,32,North,Diana,Jan,4,75.5,Residential,Yes,AirConditioner,10,25,0
127,32,North,Diana,Jan,4,75.5,Residential,Yes,Fridge,26.5,53,9
128,32,North,Diana,Jan,4,75.5,Residential,Yes,Television,15,60,5
129,33,West,Diana,Jan,2,104.25,Corporate,No,Computer,38.1,127,2
130,33,West,Diana,Jan,2,104.25,Corporate,No,AirConditioner,34.4,86,11
131,33,West,Diana,Jan,2,104.25,Corporate,No,Fridge,26,52,18
132,33,West,Diana,Jan,2,104.25,Corporate,No,Television,5.75,23,7
133,34,South,Eve,Feb,5,58.1,Residential,Yes,Computer,19.2,64,21
134,34,South,Eve,Feb,5,58.1,Residential,Yes,AirConditioner,24.4,61,10
135,34,South,Eve,Feb,5,58.1,Residential,Yes,Fridge,3,6,17
136,34,South,Eve,Feb,5,58.1,Residential,Yes,Television,11.5,46,0
137,35,South,Bob,Mar,1,92,Residential,No,Computer,22.8,76,26
138,35,South,Bob,Mar,1,92,Residential,No,AirConditioner,31.2,78,0
139,35,South,Bob,Mar,1,92,Residential,No,Fridge,25,50,9
140,35,South,Bob,Mar,1,92,Residential,No,Television,13,52,10
141,36,North,Charlie,Mar,3,105.3,Residential,No,Computer,45,150,22
142,36,North,Charlie,Mar,3,105.3,Residential,No,AirConditioner,40.8,102,13
143,36,North,Charlie,Mar,3,105.3,Residential,No,Fridge,17,34,1
144,36,North,Charlie,Mar,3,105.3,Residential,No,Television,2.5,10,0
145,37,West,Charlie,Mar,1,87.2,Commercial,No,Computer,3.6,12,2
146,37,West,Charlie,Mar,1,87.2,Commercial,No,AirConditioner,45.6,114,10
147,37,West,Charlie,Mar,1,87.2,Commercial,No,Fridge,26.5,53,5
148,37,West,Charlie,Mar,1,87.2,Commercial,No,Television,11.5,46,14
149,38,North,Charlie,Feb,2,92.1,Commercial,No,Computer,10.5,35,0
150,38,North,Charlie,Feb,2,92.1,Commercial,No,AirConditioner,47.6,119,6
151,38,North,Charlie,Feb,2,92.1,Commercial,No,Fridge,27,54,2
152,38,North,Charlie,Feb,2,92.1,Commercial,No,Television,7,28,10
153,39,North,Diana,Mar,3,100.45,Residential,Yes,Computer,19.8,66,1
154,39,North,Diana,Mar,3,100.45,Residential,Yes,AirConditioner,18.4,46,1
155,39,North,Diana,Mar,3,100.45,Residential,Yes,Fridge,38,76,18
156,39,North,Diana,Mar,3,100.45,Residential,Yes,Television,24.25,97,6
157,40,East,Diana,Feb,1,98.05,Corporate,Yes,Computer,40.5,135,10
158,40,East,Diana,Feb,1,98.05,Corporate,Yes,AirConditioner,28.8,72,14
159,40,East,Diana,Feb,1,98.05,Corporate,Yes,Fridge,18,36,4
160,40,East,Diana,Feb,1,98.05,Corporate,Yes,Television,10.75,43,6
161,41,East,Bob,Mar,2,100.95,Residential,Yes,Computer,31.38,104.59,13
162,41,East,Bob,Mar,2,100.95,Residential,Yes,AirConditioner,29.6,74,7
163,41,East,Bob,Mar,2,100.95,Residential,Yes,Fridge,19,38,6
164,41,East,Bob,Mar,2,100.95,Residential,Yes,Television,6.5,26,1
165,42,East,Charlie,Mar,2,28.15,Residential,Yes,Computer,18.6,62,9
166,42,East,Charlie,Mar,2,28.15,Residential,Yes,AirConditioner,32.8,82,21
167,42,East,Charlie,Mar,2,28.15,Residential,Yes,Fridge,36,72,6
168,42,East,Charlie,Mar,2,28.15,Residential,Yes,Television,13.75,55,2
169,43,South,Charlie,Jan,3,53.2,Residential,Yes,Computer,15.6,52,6
170,43,South,Charlie,Jan,3,53.2,Residential,Yes,AirConditioner,37.6,94,19
171,43,South,Charlie,Jan,3,53.2,Residential,Yes,Fridge,22.5,45,9
172,43,South,Charlie,Jan,3,53.2,Residential,Yes,Television,28.5,114,1
173,44,West,Eve,Feb,3,155.1,Commercial,Yes,Computer,59.1,197,22
174,44,West,Eve,Feb,3,155.1,Commercial,Yes,AirConditioner,46,115,24
175,44,West,Eve,Feb,3,155.1,Commercial,Yes,Fridge,9,18,0
176,44,West,Eve,Feb,3,155.1,Commercial,Yes,Television,12,48,5
177,45,West,Diana,Jan,1,152.65,Corporate,Yes,Computer,58.5,195,27
178,45,West,Diana,Jan,1,152.65,Corporate,Yes,AirConditioner,46.4,116,14
179,45,West,Diana,Jan,1,152.65,Corporate,Yes,Fridge,30.5,61,10
180,45,West,Diana,Jan,1,152.65,Corporate,Yes,Television,7.25,29,12
181,46,West,Charlie,Jan,2,87.45,Residential,Yes,Computer,17.4,58,0
182,46,West,Charlie,Jan,2,87.45,Residential,Yes,AirConditioner,42.8,107,7
183,46,West,Charlie,Jan,2,87.45,Residential,Yes,Fridge,27.5,55,6
184,46,West,Charlie,Jan,2,87.45,Residential,Yes,Television,6.75,27,12
185,47,West,Bob,Jan,5,142.9,Commercial,Yes,Computer,15.3,51,25
186,47,West,Bob,Jan,5,142.9,Commercial,Yes,AirConditioner,59.6,149,9
187,47,West,Bob,Jan,5,142.9,Commercial,Yes,Fridge,10.5,21,5
188,47,West,Bob,Jan,5,142.9,Commercial,Yes,Television,4.5,18,7
189,48,East,Bob,Feb,1,164.7,Residential,No,Computer,6,20,6
190,48,East,Bob,Feb,1,164.7,Residential,No,AirConditioner,9.2,23,18
191,48,East,Bob,Feb,1,164.7,Residential,No,Fridge,45.5,91,5
192,48,East,Bob,Feb,1,164.7,Residential,No,Television,26,104,7
193,49,South,Charlie,Feb,3,72.7,Commercial,Yes,Computer,33.6,112,14
194,49,South,Charlie,Feb,3,72.7,Commercial,Yes,AirConditioner,29.6,74,2
195,49,South,Charlie,Feb,3,72.7,Commercial,Yes,Fridge,48.5,97,12
196,49,South,Charlie,Feb,3,72.7,Commercial,Yes,Television,15,60,14
197,50,South,Diana,Mar,1,23.9,Corporate,Yes,Computer,32.1,107,25
198,50,South,Diana,Mar,1,23.9,Corporate,Yes,AirConditioner,26.8,67,19
199,50,South,Diana,Mar,1,23.9,Corporate,Yes,Fridge,21.5,43,15
200,50,South,Diana,Mar,1,23.9,Corporate,Yes,Television,18.5,74,0
201,51,East,Bob,Jan,2,129.1,Residential,No,Computer,46.5,155,10
202,51,East,Bob,Jan,2,129.1,Residential,No,AirConditioner,31.6,79,13
203,51,East,Bob,Jan,2,129.1,Residential,No,Fridge,41.5,83,12
204,51,East,Bob,Jan,2,129.1,Residential,No,Television,26.5,106,10
205,52,South,Eve,Mar,1,118.15,Corporate,Yes,Computer,28.2,94,5
206,52,South,Eve,Mar,1,118.15,Corporate,Yes,AirConditioner,43.2,108,8
207,52,South,Eve,Mar,1,118.15,Corporate,Yes,Fridge,24.5,49,1
208,52,South,Eve,Mar,1,118.15,Corporate,Yes,Television,17.25,69,8
209,53,East,Bob,Jan,5,121.8,Commercial,No,Computer,32.7,109,26
210,53,East,Bob,Jan,5,121.8,Commercial,No,AirConditioner,31.6,79,8
211,53,East,Bob,Jan,5,121.8,Commercial,No,Fridge,48,96,18
212,53,East,Bob,Jan,5,121.8,Commercial,No,Television,18.5,74,10
213,54,West,Alice,Feb,5,162.2,Residential,No,Computer,33.9,113,21
214,54,West,Alice,Feb,5,162.2,Residential,No,AirConditioner,52.8,132,20
215,54,West,Alice,Feb,5,162.2,Residential,No,Fridge,28,56,18
216,54,West,Alice,Feb,5,162.2,Residential,No,Television,28.5,114,7
217,55,East,Alice,Feb,4,88.45,Corporate,Yes,Computer,56.7,189,6
218,55,East,Alice,Feb,4,88.45,Corporate,Yes,AirConditioner,24,60,24
219,55,East,Alice,Feb,4,88.45,Corporate,Yes,Fridge,28.5,57,18
220,55,East,Alice,Feb,4,88.45,Corporate,Yes,Television,5.25,21,8
221,56,West,Diana,Feb,2,102.4,Residential,No,Computer,16.5,55,6
222,56,West,Diana,Feb,2,102.4,Residential,No,AirConditioner,10.4,26,5
223,56,West,Diana,Feb,2,102.4,Residential,No,Fridge,48.5,97,17
224,56,West,Diana,Feb,2,102.4,Residential,No,Television,6,24,12
225,57,West,Charlie,Jan,5,177.1,Residential,No,Computer,15.9,53,0
226,57,West,Charlie,Jan,5,177.1,Residential,No,AirConditioner,37.2,93,7
227,57,West,Charlie,Jan,5,177.1,Residential,No,Fridge,10.5,21,5
228,57,West,Charlie,Jan,5,177.1,Residential,No,Television,25.5,102,13
229,58,North,Diana,Feb,3,101.25,Residential,Yes,Computer,9.3,31,9
230,58,North,Diana,Feb,3,101.25,Residential,Yes,AirConditioner,9.2,23,10
231,58,North,Diana,Feb,3,101.25,Residential,Yes,Fridge,32,64,1
232,58,North,Diana,Feb,3,101.25,Residential,Yes,Television,0.75,3,12
233,59,East,Diana,Jan,2,206.5,Residential,No,Computer,57,190,20
234,59,East,Diana,Jan,2,206.5,Residential,No,AirConditioner,12,30,7
235,59,East,Diana,Jan,2,206.5,Residential,No,Fridge,47.5,95,18
236,59,East,Diana,Jan,2,206.5,Residential,No,Television,26,104,8
237,60,North,Diana,Mar,4,63.85,Corporate,Yes,Computer,58.8,196,14
238,60,North,Diana,Mar,4,63.85,Corporate,Yes,AirConditioner,10.8,27,11
239,60,North,Diana,Mar,4,63.85,Corporate,Yes,Fridge,30.5,61,5
240,60,North,Diana,Mar,4,63.85,Corporate,Yes,Television,23.75,95,10
241,61,East,Diana,Jan,1,100.95,Commercial,Yes,Computer,36.9,123,29
242,61,East,Diana,Jan,1,100.95,Commercial,Yes,AirConditioner,30.4,76,9
243,61,East,Diana,Jan,1,100.95,Commercial,Yes,Fridge,33.5,67,19
244,61,East,Diana,Jan,1,100.95,Commercial,Yes,Television,15.5,62,11
245,62,East,Eve,Mar,1,89.25,Corporate,Yes,Computer,40.2,134,29
246,62,East,Eve,Mar,1,89.25,Corporate,Yes,AirConditioner,6.8,17,22
247,62,East,Eve,Mar,1,89.25,Corporate,Yes,Fridge,35,70,14
248,62,East,Eve,Mar,1,89.25,Corporate,Yes,Television,26.25,105,5
249,63,North,Eve,Jan,4,184.15,Residential,Yes,Computer,39.9,133,7
250,63,North,Eve,Jan,4,184.15,Residential,Yes,AirConditioner,28,70,3
251,63,North,Eve,Jan,4,184.15,Residential,Yes,Fridge,15,30,5
252,63,North,Eve,Jan,4,184.15,Residential,Yes,Television,25.25,101,2
253,64,North,Bob,Mar,2,135.4,Residential,Yes,Computer,11.7,39,23
254,64,North,Bob,Mar,2,135.4,Residential,Yes,AirConditioner,59.2,148,15
255,64,North,Bob,Mar,2,135.4,Residential,Yes,Fridge,10,20,2
256,64,North,Bob,Mar,2,135.4,Residential,Yes,Television,0.5,2,0
257,65,East,Alice,Feb,3,99.4,Residential,No,Computer,5.1,17,18
258,65,East,Alice,Feb,3,99.4,Residential,No,AirConditioner,30.8,77,19
259,65,East,Alice,Feb,3,99.4,Residential,No,Fridge,14,28,10
260,65,East,Alice,Feb,3,99.4,Residential,No,Television,16.5,66,10
261,66,South,Diana,Mar,2,73.75,Commercial,Yes,Computer,32.1,107,2
262,66,South,Diana,Mar,2,73.75,Commercial,Yes,AirConditioner,32.4,81,5
263,66,South,Diana,Mar,2,73.75,Commercial,Yes,Fridge,10.5,21,7
264,66,South,Diana,Mar,2,73.75,Commercial,Yes,Television,25.75,103,7
265,67,West,Bob,Feb,5,55.55,Corporate,Yes,Computer,19.8,66,22
266,67,West,Bob,Feb,5,55.55,Corporate,Yes,AirConditioner,14,35,8
267,67,West,Bob,Feb,5,55.55,Corporate,Yes,Fridge,28.5,57,17
268,67,West,Bob,Feb,5,55.55,Corporate,Yes,Television,28.25,113,9
269,68,North,Alice,Feb,2,34.6,Commercial,Yes,Computer,36,120,14
270,68,North,Alice,Feb,2,34.6,Commercial,Yes,AirConditioner,35.6,89,22
271,68,North,Alice,Feb,2,34.6,Commercial,Yes,Fridge,29.5,59,16
272,68,North,Alice,Feb,2,34.6,Commercial,Yes,Television,10.5,42,2
273,69,West,Charlie,Mar,5,145.8,Residential,No,Computer,24.6,82,3
274,69,West,Charlie,Mar,5,145.8,Residential,No,AirConditioner,25.2,63,4
275,69,West,Charlie,Mar,5,145.8,Residential,No,Fridge,4,8,18
276,69,West,Charlie,Mar,5,145.8,Residential,No,Television,27,108,12
277,70,South,Eve,Jan,2,-7.8,Corporate,No,Computer,37.2,124,5
278,70,South,Eve,Jan,2,-7.8,Corporate,No,AirConditioner,18,45,20
279,70,South,Eve,Jan,2,-7.8,Corporate,No,Fridge,1.5,3,18
280,70,South,Eve,Jan,2,-7.8,Corporate,No,Television,8.5,34,6
281,71,South,Alice,Jan,1,125.6,Commercial,No,Computer,8.7,29,24
282,71,South,Alice,Jan,1,125.6,Commercial,No,AirConditioner,46.4,116,23
283,71,South,Alice,Jan,1,125.6,Commercial,No,Fridge,5,10,16
284,71,South,Alice,Jan,1,125.6,Commercial,No,Television,10.5,42,12
285,72,South,Charlie,Jan,3,120.7,Residential,No,Computer,10.2,34,9
286,72,South,Charlie,Jan,3,120.7,Residential,No,AirConditioner,40,100,5
287,72,South,Charlie,Jan,3,120.7,Residential,No,Fridge,49.5,99,3
288,72,South,Charlie,Jan,3,120.7,Residential,No,Television,5,20,9
289,73,North,Alice,Jan,1,122.55,Corporate,No,Computer,8.4,28,17
290,73,North,Alice,Jan,1,122.55,Corporate,No,AirConditioner,50.4,126,16
291,73,North,Alice,Jan,1,122.55,Corporate,No,Fridge,26.5,53,6
292,73,North,Alice,Jan,1,122.55,Corporate,No,Television,24.25,97,5
293,74,South,Eve,Jan,1,201.3,Residential,No,Computer,4.2,14,15
294,74,South,Eve,Jan,1,201.3,Residential,No,AirConditioner,43.6,109,16
295,74,South,Eve,Jan,1,201.3,Residential,No,Fridge,43.5,87,4
296,74,South,Eve,Jan,1,201.3,Residential,No,Television,17,68,2
297,75,North,Eve,Feb,3,72.65,Residential,No,Computer,25.2,84,17
298,75,North,Eve,Feb,3,72.65,Residential,No,AirConditioner,31.2,78,24
299,75,North,Eve,Feb,3,72.65,Residential,No,Fridge,45,90,15
300,75,North,Eve,Feb,3,72.65,Residential,No,Television,11.25,45,5
301,76,South,Bob,Jan,2,209,Residential,Yes,Computer,41.1,137,5
302,76,South,Bob,Jan,2,209,Residential,Yes,AirConditioner,54.4,136,23
303,76,South,Bob,Jan,2,209,Residential,Yes,Fridge,13.5,27,5
304,76,South,Bob,Jan,2,209,Residential,Yes,Television,27,108,11
305,77,West,Diana,Feb,2,76.75,Residential,Yes,Computer,24.3,81,18
306,77,West,Diana,Feb,2,76.75,Residential,Yes,AirConditioner,41.2,103,21
307,77,West,Diana,Feb,2,76.75,Residential,Yes,Fridge,24.5,49,13
308,77,West,Diana,Feb,2,76.75,Residential,Yes,Television,18.75,75,2
309,78,West,Alice,Feb,2,153.2,Residential,No,Computer,49.2,164,16
310,78,West,Alice,Feb,2,153.2,Residential,No,AirConditioner,52,130,12
311,78,West,Alice,Feb,2,153.2,Residential,No,Fridge,28.5,57,19
312,78,West,Alice,Feb,2,153.2,Residential,No,Television,10.5,42,12
313,79,East,Alice,Feb,2,90.25,Residential,Yes,Computer,14.7,49,17
314,79,East,Alice,Feb,2,90.25,Residential,Yes,AirConditioner,56.8,142,16
315,79,East,Alice,Feb,2,90.25,Residential,Yes,Fridge,33,66,1
316,79,East,Alice,Feb,2,90.25,Residential,Yes,Television,11.75,47,14
317,80,West,Charlie,Mar,1,155.85,Residential,Yes,Computer,10.5,35,29
318,80,West,Charlie,Mar,1,155.85,Residential,Yes,AirConditioner,31.6,79,13
319,80,West,Charlie,Mar,1,155.85,Residential,Yes,Fridge,42.5,85,17
320,80,West,Charlie,Mar,1,155.85,Residential,Yes,Television,1.25,5,12
321,81,East,Eve,Mar,2,100.95,Commercial,Yes,Computer,31.38,104.59,12
322,81,East,Eve,Mar,2,100.95,Commercial,Yes,AirConditioner,7.2,18,1
323,81,East,Eve,Mar,2,100.95,Commercial,Yes,Fridge,47.5,95,17
324,81,East,Eve,Mar,2,100.95,Commercial,Yes,Television,22.25,89,13
325,82,West,Alice,Feb,4,123.75,Corporate,No,Computer,59.7,199,6
326,82,West,Alice,Feb,4,123.75,Corporate,No,AirConditioner,16.8,42,18
327,82,West,Alice,Feb,4,123.75,Corporate,No,Fridge,6,12,12
328,82,West,Alice,Feb,4,123.75,Corporate,No,Television,12.25,49,8
329,83,North,Eve,Mar,5,37.45,Commercial,Yes,Computer,27.6,92,19
330,83,North,Eve,Mar,5,37.45,Commercial,Yes,AirConditioner,57.6,144,2
331,83,North,Eve,Mar,5,37.45,Commercial,Yes,Fridge,29,58,17
332,83,North,Eve,Mar,5,37.45,Commercial,Yes,Television,9.25,37,12
333,84,West,Alice,Jan,2,80.2,Residential,No,Computer,41.1,137,11
334,84,West,Alice,Jan,2,80.2,Residential,No,AirConditioner,19.6,49,1
335,84,West,Alice,Jan,2,80.2,Residential,No,Fridge,7,14,16
336,84,West,Alice,Jan,2,80.2,Residential,No,Television,8.5,34,0
337,85,East,Bob,Jan,3,215.45,Residential,No,Computer,56.1,187,1
338,85,East,Bob,Jan,3,215.45,Residential,No,AirConditioner,59.6,149,1
339,85,East,Bob,Jan,3,215.45,Residential,No,Fridge,17.5,35,12
340,85,East,Bob,Jan,3,215.45,Residential,No,Television,18.25,73,12
341,86,East,Diana,Feb,3,237.3,Residential,No,Computer,53.7,179,26
342,86,East,Diana,Feb,3,237.3,Residential,No,AirConditioner,31.6,79,21
343,86,East,Diana,Feb,3,237.3,Residential,No,Fridge,36.5,73,11
344,86,East,Diana,Feb,3,237.3,Residential,No,Television,17.5,70,7
345,87,South,Alice,Jan,2,124,Residential,No,Computer,49.8,166,11
346,87,South,Alice,Jan,2,124,Residential,No,AirConditioner,13.2,33,6
