ID,Index,Region,SalesRep,Month,CustomerRating,CustomerSegment,SalesTargetAchieved,Product,Sales,Profit,Discount%,Net Profit,,,,,
188,47,West,Bob,Jan,5,Commercial,Yes,Television,18,4.5,7,3.24,,,,,
201,51,East,Bob,Jan,2,Residential,No,Computer,155,46.5,10,31,,,,,
202,51,East,Bob,Jan,2,Residential,No,AirConditioner,79,31.6,13,21.33,,,,,
203,51,East,Bob,Jan,2,Residential,No,Fridge,83,41.5,12,31.54,,,,,
204,51,East,Bob,Jan,2,Residential,No,Television,106,26.5,10,15.9,,,,,
209,53,East,Bob,Jan,5,Commercial,No,Computer,109,32.7,26,4.36,,,,,
210,53,East,Bob,Jan,5,Commercial,No,AirConditioner,79,31.6,8,25.28,,,,,
211,53,East,Bob,Jan,5,Commercial,No,Fridge,96,48,18,30.72,,,,,
212,53,East,Bob,Jan,5,Commercial,No,Television,74,18.5,10,11.1,,,,,
225,57,West,Charlie,Jan,5,Residential,No,Computer,53,15.9,0,15.9,,,,,
226,57,West,Charlie,Jan,5,Residential,No,AirConditioner,93,37.2,7,30.69,,,,,
227,57,West,Charlie,Jan,5,Residential,No,Fridge,21,10.5,5,9.45,,,,,
228,57,West,Charlie,Jan,5,Residential,No,Television,102,25.5,13,12.24,,,,,
233,59,East,Diana,Jan,2,Residential,No,Computer,190,57,20,19,,,,,
234,59,East,Diana,Jan,2,Residential,No,AirConditioner,30,12,7,9.9,,,,,
235,59,East,Diana,Jan,2,Residential,No,Fridge,95,47.5,18,30.4,,,,,
236,59,East,Diana,Jan,2,Residential,No,Television,104,26,8,17.68,,,,,
241,61,East,Diana,Jan,1,Commercial,Yes,Computer,123,36.9,29,1.23,,,,,
242,61,East,Diana,Jan,1,Commercial,Yes,AirConditioner,76,30.4,9,23.56,,,,,
243,61,East,Diana,Jan,1,Commercial,Yes,Fridge,67,33.5,19,20.77,,,,,
244,61,East,Diana,Jan,1,Commercial,Yes,Television,62,15.5,11,8.68,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
249,63,North,Eve,Jan,4,Residential,Yes,Computer,133,39.9,7,30.59,,,,,
250,63,North,Eve,Jan,4,Residential,Yes,AirConditioner,70,28,3,25.9,,,,,
251,63,North,Eve,Jan,4,Residential,Yes,Fridge,30,15,5,13.5,,,,,
252,63,North,Eve,Jan,4,Residential,Yes,Television,101,25.25,2,23.23,,,,,
277,70,South,Eve,Jan,2,Corporate,No,Computer,124,37.2,5,31,,,,,
278,70,South,Eve,Jan,2,Corporate,No,AirConditioner,45,18,20,9,,,,,
279,70,South,Eve,Jan,2,Corporate,No,Fridge,3,1.5,18,0.96,,,,,
280,70,South,Eve,Jan,2,Corporate,No,Television,34,8.5,6,6.46,,,,,
281,71,South,Alice,Jan,1,Commercial,No,Computer,29,8.7,24,1.74,,,,,
282,71,South,Alice,Jan,1,Commercial,No,AirConditioner,116,46.4,23,19.72,,,,,
283,71,South,Alice,Jan,1,Commercial,No,Fridge,10,5,16,3.4,,,,,
284,71,South,Alice,Jan,1,Commercial,No,Television,42,10.5,12,5.46,,,,,
285,72,South,Charlie,Jan,3,Residential,No,Computer,34,10.2,9,7.14,,,,,
286,72,South,Charlie,Jan,3,Residential,No,AirConditioner,100,40,5,35,,,,,
287,72,South,Charlie,Jan,3,Residential,No,Fridge,99,49.5,3,46.53,,,,,
288,72,South,Charlie,Jan,3,Residential,No,Television,20,5,9,3.2,,,,,
289,73,North,Alice,Jan,1,Corporate,No,Computer,28,8.4,17,3.64,,,,,
290,73,North,Alice,Jan,1,Corporate,No,AirConditioner,126,50.4,16,30.24,,,,,
291,73,North,Alice,Jan,1,Corporate,No,Fridge,53,26.5,6,23.32,,,,,
292,73,North,Alice,Jan,1,Corporate,No,Television,97,24.25,5,19.4,,,,,
293,74,South,Eve,Jan,1,Residential,No,Computer,14,4.2,15,2.1,,,,,
294,74,South,Eve,Jan,1,Residential,No,AirConditioner,109,43.6,16,26.16,,,,,
295,74,South,Eve,Jan,1,Residential,No,Fridge,87,43.5,4,40.02,,,,,
296,74,South,Eve,Jan,1,Residential,No,Television,68,17,2,15.64,,,,,
301,76,South,Bob,Jan,2,Residential,Yes,Computer,137,41.1,5,34.25,,,,,
302,76,South,Bob,Jan,2,Residential,Yes,AirConditioner,136,54.4,23,23.12,,,,,
303,76,South,Bob,Jan,2,Residential,Yes,Fridge,27,13.5,5,12.15,,,,,
304,76,South,Bob,Jan,2,Residential,Yes,Television,108,27,11,15.12,,,,,
333,84,West,Alice,Jan,2,Residential,No,Computer,137,41.1,11,26.03,,,,,
334,84,West,Alice,Jan,2,Residential,No,AirConditioner,49,19.6,1,19.11,,,,,
335,84,West,Alice,Jan,2,Residential,No,Fridge,14,7,16,4.76,,,,,
336,84,West,Alice,Jan,2,Residential,No,Television,34,8.5,0,8.5,,,,,
337,85,East,Bob,Jan,3,Residential,No,Computer,187,56.1,1,54.23,,,,,
338,85,East,Bob,Jan,3,Residential,No,AirConditioner,149,59.6,1,58.11,,,,,
339,85,East,Bob,Jan,3,Residential,No,Fridge,35,17.5,12,13.3,,,,,
340,85,East,Bob,Jan,3,Residential,No,Television,73,18.25,12,9.49,,,,,
345,87,South,Alice,Jan,2,Residential,No,Computer,166,49.8,11,31.54,,,,,
346,87,South,Alice,Jan,2,Residential,No,AirConditioner,33,13.2,6,11.22,,,,,
347,87,South,Alice,Jan,2,Residential,No,Fridge,19,9.5,2,9.12,,,,,
348,87,South,Alice,Jan,2,Residential,No,Television,18,4.5,4,3.78,,,,,
357,90,South,Alice,Jan,3,Commercial,Yes,Computer,178,53.4,3,48.06,,,,,
358,90,South,Alice,Jan,3,Commercial,Yes,AirConditioner,18,7.2,5,6.3,,,,,
359,90,South,Alice,Jan,3,Commercial,Yes,Fridge,33,16.5,4,15.18,,,,,
360,90,South,Alice,Jan,3,Commercial,Yes,Television,78,19.5,0,19.5,,,,,
365,92,West,Diana,Jan,2,Residential,No,Computer,106,31.8,17,13.78,,,,,
366,92,West,Diana,Jan,2,Residential,No,AirConditioner,35,14,19,7.35,,,,,
367,92,West,Diana,Jan,2,Residential,No,Fridge,72,36,3,33.84,,,,,
368,92,West,Diana,Jan,2,Residential,No,Television,17,4.25,12,2.21,,,,,
369,93,South,Alice,Jan,4,Residential,No,Computer,120,36,15,18,,,,,
370,93,South,Alice,Jan,4,Residential,No,AirConditioner,62,24.8,5,21.7,,,,,
371,93,South,Alice,Jan,4,Residential,No,Fridge,19,9.5,0,9.5,,,,,
372,93,South,Alice,Jan,4,Residential,No,Television,60,15,8,10.2,,,,,
421,106,South,Charlie,Jan,1,Residential,Yes,Computer,142,42.6,15,21.3,,,,,
422,106,South,Charlie,Jan,1,Residential,Yes,AirConditioner,24,9.6,7,7.92,,,,,
423,106,South,Charlie,Jan,1,Residential,Yes,Fridge,82,41,11,31.98,,,,,
424,106,South,Charlie,Jan,1,Residential,Yes,Television,5,1.25,3,1.1,,,,,
425,107,South,Alice,Jan,2,Residential,Yes,Computer,31,9.3,15,4.65,,,,,
426,107,South,Alice,Jan,2,Residential,Yes,AirConditioner,39,15.6,21,7.41,,,,,
427,107,South,Alice,Jan,2,Residential,Yes,Fridge,13,6.5,16,4.42,,,,,
428,107,South,Alice,Jan,2,Residential,Yes,Television,24,6,9,3.84,,,,,
433,109,South,Eve,Jan,3,Commercial,Yes,Computer,165,49.5,27,4.95,,,,,
434,109,South,Eve,Jan,3,Commercial,Yes,AirConditioner,114,45.6,21,21.66,,,,,
435,109,South,Eve,Jan,3,Commercial,Yes,Fridge,8,4,14,2.88,,,,,
436,109,South,Eve,Jan,3,Commercial,Yes,Television,62,15.5,14,6.82,,,,,
437,110,East,Alice,Jan,4,Corporate,Yes,Computer,170,51,18,20.4,,,,,
438,110,East,Alice,Jan,4,Corporate,Yes,AirConditioner,140,56,19,29.4,,,,,
439,110,East,Alice,Jan,4,Corporate,Yes,Fridge,37,18.5,1,18.13,,,,,
440,110,East,Alice,Jan,4,Corporate,Yes,Television,107,26.75,3,23.54,,,,,
457,115,East,Diana,Jan,2,Corporate,Yes,Computer,126,37.8,19,13.86,,,,,
458,115,East,Diana,Jan,2,Corporate,Yes,AirConditioner,52,20.8,21,9.88,,,,,
459,115,East,Diana,Jan,2,Corporate,Yes,Fridge,76,38,9,31.16,,,,,
460,115,East,Diana,Jan,2,Corporate,Yes,Television,37,9.25,11,5.18,,,,,
461,116,West,Bob,Jan,3,Commercial,No,Computer,39,11.7,13,6.63,,,,,
462,116,West,Bob,Jan,3,Commercial,No,AirConditioner,95,38,20,19,,,,,
463,116,West,Bob,Jan,3,Commercial,No,Fridge,92,46,6,40.48,,,,,
464,116,West,Bob,Jan,3,Commercial,No,Television,90,22.5,9,14.4,,,,,
469,118,South,Alice,Jan,1,Commercial,Yes,Computer,153,45.9,13,26.01,,,,,
470,118,South,Alice,Jan,1,Commercial,Yes,AirConditioner,72,28.8,16,17.28,,,,,
471,118,South,Alice,Jan,1,Commercial,Yes,Fridge,66,33,14,23.76,,,,,
472,118,South,Alice,Jan,1,Commercial,Yes,Television,51,12.75,9,8.16,,,,,
509,128,North,Eve,Jan,3,Residential,Yes,Computer,59,17.7,28,1.18,,,,,
510,128,North,Eve,Jan,3,Residential,Yes,AirConditioner,110,44,7,36.3,,,,,
511,128,North,Eve,Jan,3,Residential,Yes,Fridge,39,19.5,18,12.48,,,,,
512,128,North,Eve,Jan,3,Residential,Yes,Television,118,29.5,5,23.6,,,,,
525,132,North,Eve,Jan,2,Residential,Yes,Computer,164,49.2,1,47.56,,,,,
526,132,North,Eve,Jan,2,Residential,Yes,AirConditioner,23,9.2,18,5.06,,,,,
527,132,North,Eve,Jan,2,Residential,Yes,Fridge,50,25,3,23.5,,,,,
528,132,North,Eve,Jan,2,Residential,Yes,Television,34,8.5,4,7.14,,,,,
529,133,North,Alice,Jan,4,Commercial,No,Computer,178,53.4,26,7.12,,,,,
530,133,North,Alice,Jan,4,Commercial,No,AirConditioner,92,36.8,8,29.44,,,,,
531,133,North,Alice,Jan,4,Commercial,No,Fridge,86,43,10,34.4,,,,,
532,133,North,Alice,Jan,4,Commercial,No,Television,9,2.25,9,1.44,,,,,
537,135,East,Eve,Jan,4,Residential,Yes,Computer,83,24.9,9,17.43,,,,,
538,135,East,Eve,Jan,4,Residential,Yes,AirConditioner,81,32.4,19,17.01,,,,,
539,135,East,Eve,Jan,4,Residential,Yes,Fridge,85,42.5,17,28.05,,,,,
540,135,East,Eve,Jan,4,Residential,Yes,Television,115,28.75,13,13.8,,,,,
545,137,North,Bob,Jan,4,Corporate,Yes,Computer,199,59.7,16,27.86,,,,,
546,137,North,Bob,Jan,4,Corporate,Yes,AirConditioner,32,12.8,15,8,,,,,
547,137,North,Bob,Jan,4,Corporate,Yes,Fridge,23,11.5,16,7.82,,,,,
548,137,North,Bob,Jan,4,Corporate,Yes,Television,69,17.25,12,8.97,,,,,
561,141,West,Bob,Jan,1,Corporate,Yes,Computer,159,47.7,5,39.75,,,,,
562,141,West,Bob,Jan,1,Corporate,Yes,AirConditioner,62,24.8,20,12.4,,,,,
563,141,West,Bob,Jan,1,Corporate,Yes,Fridge,56,28,9,22.96,,,,,
564,141,West,Bob,Jan,1,Corporate,Yes,Television,89,22.25,10,13.35,,,,,
565,142,North,Diana,Jan,5,Commercial,Yes,Computer,15,4.5,6,3.6,,,,,
566,142,North,Diana,Jan,5,Commercial,Yes,AirConditioner,146,58.4,18,32.12,,,,,
567,142,North,Diana,Jan,5,Commercial,Yes,Fridge,36,18,2,17.28,,,,,
568,142,North,Diana,Jan,5,Commercial,Yes,Television,47,11.75,5,9.4,,,,,
577,145,West,Charlie,Jan,2,Commercial,Yes,Computer,149,44.7,8,32.78,,,,,
578,145,West,Charlie,Jan,2,Commercial,Yes,AirConditioner,88,35.2,5,30.8,,,,,
579,145,West,Charlie,Jan,2,Commercial,Yes,Fridge,17,8.5,6,7.48,,,,,
580,145,West,Charlie,Jan,2,Commercial,Yes,Television,63,15.75,4,13.23,,,,,
581,146,East,Diana,Jan,3,Residential,No,Computer,108,32.4,7,24.84,,,,,
582,146,East,Diana,Jan,3,Residential,No,AirConditioner,147,58.8,1,57.33,,,,,
583,146,East,Diana,Jan,3,Residential,No,Fridge,67,33.5,4,30.82,,,,,
584,146,East,Diana,Jan,3,Residential,No,Television,52,13,4,10.92,,,,,
585,147,East,Alice,Jan,1,Residential,Yes,Computer,151,45.3,24,9.06,,,,,
586,147,East,Alice,Jan,1,Residential,Yes,AirConditioner,100,40,23,17,,,,,
587,147,East,Alice,Jan,1,Residential,Yes,Fridge,92,46,2,44.16,,,,,
588,147,East,Alice,Jan,1,Residential,Yes,Television,10,2.5,11,1.4,,,,,
589,148,East,Eve,Jan,1,Commercial,Yes,Computer,31,9.3,9,6.51,,,,,
590,148,East,Eve,Jan,1,Commercial,Yes,AirConditioner,37,14.8,24,5.92,,,,,
591,148,East,Eve,Jan,1,Commercial,Yes,Fridge,27,13.5,1,13.23,,,,,
592,148,East,Eve,Jan,1,Commercial,Yes,Television,28,7,11,3.92,,,,,
593,149,North,Charlie,Jan,2,Residential,Yes,Computer,60,18,28,1.2,,,,,
594,149,North,Charlie,Jan,2,Residential,Yes,AirConditioner,149,59.6,18,32.78,,,,,
595,149,North,Charlie,Jan,2,Residential,Yes,Fridge,61,30.5,5,27.45,,,,,
596,149,North,Charlie,Jan,2,Residential,Yes,Television,6,1.5,5,1.2,,,,,
597,150,West,Bob,Jan,5,Residential,Yes,Computer,160,48,3,43.2,,,,,
598,150,West,Bob,Jan,5,Residential,Yes,AirConditioner,145,58,12,40.6,,,,,
599,150,West,Bob,Jan,5,Residential,Yes,Fridge,81,40.5,13,29.97,,,,,
600,150,West,Bob,Jan,5,Residential,Yes,Television,27,6.75,2,6.21,,,,,
605,152,East,Charlie,Jan,3,Residential,No,Computer,113,33.9,27,3.39,,,,,
606,152,East,Charlie,Jan,3,Residential,No,AirConditioner,116,46.4,5,40.6,,,,,
607,152,East,Charlie,Jan,3,Residential,No,Fridge,8,4,1,3.92,,,,,
608,152,East,Charlie,Jan,3,Residential,No,Television,62,15.5,14,6.82,,,,,
617,155,North,Alice,Jan,3,Commercial,No,Computer,150,45,7,34.5,,,,,
618,155,North,Alice,Jan,3,Commercial,No,AirConditioner,12,4.8,4,4.32,,,,,
619,155,North,Alice,Jan,3,Commercial,No,Fridge,90,45,8,37.8,,,,,
620,155,North,Alice,Jan,3,Commercial,No,Television,67,16.75,9,10.72,,,,,
633,159,North,Alice,Jan,2,Residential,Yes,Computer,88,26.4,24,5.28,,,,,
634,159,North,Alice,Jan,2,Residential,Yes,AirConditioner,88,35.2,13,23.76,,,,,
635,159,North,Alice,Jan,2,Residential,Yes,Fridge,98,49,0,49,,,,,
636,159,North,Alice,Jan,2,Residential,Yes,Television,95,23.75,5,19,,,,,
637,160,West,Alice,Jan,1,Residential,Yes,Computer,61,18.3,14,9.76,,,,,
638,160,West,Alice,Jan,1,Residential,Yes,AirConditioner,20,8,12,5.6,,,,,
639,160,West,Alice,Jan,1,Residential,Yes,Fridge,34,17,14,12.24,,,,,
640,160,West,Alice,Jan,1,Residential,Yes,Television,15,3.75,11,2.1,,,,,
641,161,East,Charlie,Jan,4,Residential,Yes,Computer,104.59,31.38,12,18.83,,,,,
642,161,East,Charlie,Jan,4,Residential,Yes,AirConditioner,82,32.8,7,27.06,,,,,
643,161,East,Charlie,Jan,4,Residential,Yes,Fridge,55,27.5,3,25.85,,,,,
644,161,East,Charlie,Jan,4,Residential,Yes,Television,71,17.75,2,16.33,,,,,
645,162,North,Charlie,Jan,3,Corporate,No,Computer,162,48.6,15,24.3,,,,,
646,162,North,Charlie,Jan,3,Corporate,No,AirConditioner,63,25.2,14,16.38,,,,,
647,162,North,Charlie,Jan,3,Corporate,No,Fridge,61,30.5,3,28.67,,,,,
648,162,North,Charlie,Jan,3,Corporate,No,Television,36,9,14,3.96,,,,,
661,166,North,Charlie,Jan,2,Commercial,Yes,Computer,43,12.9,0,12.9,,,,,
662,166,North,Charlie,Jan,2,Commercial,Yes,AirConditioner,37,14.8,22,6.66,,,,,
663,166,North,Charlie,Jan,2,Commercial,Yes,Fridge,88,44,14,31.68,,,,,
664,166,North,Charlie,Jan,2,Commercial,Yes,Television,3,0.75,2,0.69,,,,,
673,169,East,Diana,Jan,4,Corporate,Yes,Computer,129,38.7,22,10.32,,,,,
674,169,East,Diana,Jan,4,Corporate,Yes,AirConditioner,19,7.6,1,7.41,,,,,
675,169,East,Diana,Jan,4,Corporate,Yes,Fridge,58,29,6,25.52,,,,,
676,169,East,Diana,Jan,4,Corporate,Yes,Television,110,27.5,2,25.3,,,,,
677,170,South,Bob,Jan,3,Residential,No,Computer,196,58.8,4,50.96,,,,,
678,170,South,Bob,Jan,3,Residential,No,AirConditioner,86,34.4,7,28.38,,,,,
679,170,South,Bob,Jan,3,Residential,No,Fridge,26,13,16,8.84,,,,,
680,170,South,Bob,Jan,3,Residential,No,Television,114,28.5,12,14.82,,,,,
701,176,South,Eve,Jan,2,Commercial,Yes,Computer,82,24.6,11,15.58,,,,,
702,176,South,Eve,Jan,2,Commercial,Yes,AirConditioner,19,7.6,3,7.03,,,,,
703,176,South,Eve,Jan,2,Commercial,Yes,Fridge,71,35.5,19,22.01,,,,,
704,176,South,Eve,Jan,2,Commercial,Yes,Television,54,13.5,1,12.96,,,,,
709,178,East,Bob,Jan,1,Corporate,Yes,Computer,142,42.6,21,12.78,,,,,
710,178,East,Bob,Jan,1,Corporate,Yes,AirConditioner,68,27.2,8,21.76,,,,,
711,178,East,Bob,Jan,1,Corporate,Yes,Fridge,39,19.5,0,19.5,,,,,
712,178,East,Bob,Jan,1,Corporate,Yes,Television,10,2.5,10,1.5,,,,,
713,179,North,Alice,Jan,5,Commercial,No,Computer,76,22.8,16,10.64,,,,,
714,179,North,Alice,Jan,5,Commercial,No,AirConditioner,79,31.6,5,27.65,,,,,
715,179,North,Alice,Jan,5,Commercial,No,Fridge,39,19.5,9,15.99,,,,,
716,179,North,Alice,Jan,5,Commercial,No,Television,105,26.25,11,14.7,,,,,
725,182,East,Eve,Jan,1,Commercial,Yes,Computer,103,30.9,19,11.33,,,,,
726,182,East,Eve,Jan,1,Commercial,Yes,AirConditioner,61,24.4,14,15.86,,,,,
727,182,East,Eve,Jan,1,Commercial,Yes,Fridge,37,18.5,13,13.69,,,,,
728,182,East,Eve,Jan,1,Commercial,Yes,Television,99,24.75,11,13.86,,,,,
745,187,South,Bob,Jan,1,Residential,Yes,Computer,38,11.4,12,6.84,,,,,
746,187,South,Bob,Jan,1,Residential,Yes,AirConditioner,76,30.4,3,28.12,,,,,
747,187,South,Bob,Jan,1,Residential,Yes,Fridge,20,10,9,8.2,,,,,
748,187,South,Bob,Jan,1,Residential,Yes,Television,102,25.5,4,21.42,,,,,
785,197,South,Diana,Jan,3,Commercial,Yes,Computer,159,47.7,21,14.31,,,,,
786,197,South,Diana,Jan,3,Commercial,Yes,AirConditioner,93,37.2,17,21.39,,,,,
787,197,South,Diana,Jan,3,Commercial,Yes,Fridge,59,29.5,7,25.37,,,,,
788,197,South,Diana,Jan,3,Commercial,Yes,Television,106,26.5,7,19.08,,,,,
793,199,North,Eve,Jan,2,Residential,Yes,Computer,148,44.4,7,34.04,,,,,
794,199,North,Eve,Jan,2,Residential,Yes,AirConditioner,20,8,6,6.8,,,,,
795,199,North,Eve,Jan,2,Residential,Yes,Fridge,58,29,7,24.94,,,,,
796,199,North,Eve,Jan,2,Residential,Yes,Television,68,17,11,9.52,,,,,
817,205,West,Diana,Jan,1,Residential,Yes,Computer,69,20.7,7,15.87,,,,,
818,205,West,Diana,Jan,1,Residential,Yes,AirConditioner,58,23.2,21,11.02,,,,,
819,205,West,Diana,Jan,1,Residential,Yes,Fridge,33,16.5,17,10.89,,,,,
820,205,West,Diana,Jan,1,Residential,Yes,Television,107,26.75,9,17.12,,,,,
837,210,North,Charlie,Jan,2,Corporate,No,Computer,186,55.8,8,40.92,,,,,
838,210,North,Charlie,Jan,2,Corporate,No,AirConditioner,71,28.4,24,11.36,,,,,
839,210,North,Charlie,Jan,2,Corporate,No,Fridge,78,39,4,35.88,,,,,
840,210,North,Charlie,Jan,2,Corporate,No,Television,70,17.5,4,14.7,,,,,
841,211,East,Alice,Jan,4,Commercial,Yes,Computer,169,50.7,24,10.14,,,,,
842,211,East,Alice,Jan,4,Commercial,Yes,AirConditioner,76,30.4,22,13.68,,,,,
843,211,East,Alice,Jan,4,Commercial,Yes,Fridge,22,11,19,6.82,,,,,
844,211,East,Alice,Jan,4,Commercial,Yes,Television,12,3,1,2.88,,,,,
853,214,East,Alice,Jan,1,Residential,No,Computer,161,48.3,29,1.61,,,,,
854,214,East,Alice,Jan,1,Residential,No,AirConditioner,69,27.6,16,16.56,,,,,
855,214,East,Alice,Jan,1,Residential,No,Fridge,56,28,12,21.28,,,,,
856,214,East,Alice,Jan,1,Residential,No,Television,25,6.25,10,3.75,,,,,
865,217,West,Eve,Jan,4,Residential,No,Computer,40,12,7,9.2,,,,,
866,217,West,Eve,Jan,4,Residential,No,AirConditioner,117,46.8,23,19.89,,,,,
867,217,West,Eve,Jan,4,Residential,No,Fridge,73,36.5,12,27.74,,,,,
868,217,West,Eve,Jan,4,Residential,No,Television,3,0.75,0,0.75,,,,,
877,220,East,Charlie,Jan,2,Residential,No,Computer,38,11.4,12,6.84,,,,,
878,220,East,Charlie,Jan,2,Residential,No,AirConditioner,87,34.8,24,13.92,,,,,
879,220,East,Charlie,Jan,2,Residential,No,Fridge,95,47.5,11,37.05,,,,,
880,220,East,Charlie,Jan,2,Residential,No,Television,23,5.75,14,2.53,,,,,
901,226,South,Bob,Jan,2,Commercial,Yes,Computer,76,22.8,21,6.84,,,,,
902,226,South,Bob,Jan,2,Commercial,Yes,AirConditioner,105,42,3,38.85,,,,,
903,226,South,Bob,Jan,2,Commercial,Yes,Fridge,97,48.5,10,38.8,,,,,
904,226,South,Bob,Jan,2,Commercial,Yes,Television,40,10,11,5.6,,,,,
921,231,South,Bob,Jan,5,Residential,No,Computer,96,28.8,9,20.16,,,,,
922,231,South,Bob,Jan,5,Residential,No,AirConditioner,77,30.8,5,26.95,,,,,
